backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_stc,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,concat_abs_diff,elasticnet,7.758720030103412,2.5362742166456704,88.56675772508609,48.8662004791101,9.115725212201777,2.3388697229035507,,
densenet121,max,ridge,7.893494578770229,3.1976114237095152,93.03297311609754,64.3099787041906,9.179989302374764,2.959859713632125,,
densenet121,concat,ridge,7.933298015594483,2.6735656951819773,91.58187373297656,53.38929918326159,9.235025297916426,2.509219296877062,,
densenet121,concat_abs_diff,ridge,7.942990507398332,3.095570377534759,92.65224039708184,60.25919492242566,9.196693734533905,2.8413139126584803,,
convnext_tiny,mean,ridge,8.102404771532331,2.945429359058395,94.68055051609838,56.348058180744204,9.374964997231707,2.6058744821611564,,
densenet121,concat,elasticnet,8.234520857674735,3.57135109291861,102.80469356886064,78.87788521678318,9.540195024483385,3.4335655612909357,,
densenet121,max,elasticnet,8.235944325583322,3.4003216013120046,101.01541475031426,70.03572558966349,9.56108961561157,3.0985448379132534,,
densenet121,mean,elasticnet,8.497399875095912,3.91742000747909,108.88737774751104,88.04519211149423,9.755232839651187,3.704431129296654,,
convnext_tiny,mean,elasticnet,8.666689382280623,3.251633267078766,107.03728928290533,65.95498396736548,9.928657911379208,2.9084431164649565,,
densenet121,mean,ridge,8.670703438350133,4.49942501442827,113.93401134321354,101.75615320396875,9.829706648105336,4.160634393383692,,
convnext_tiny,concat,elasticnet,9.123606872558593,3.2329158733323755,118.42812847761743,66.17184895580026,10.523559393653457,2.7717911475913057,,
convnext_tiny,max,ridge,9.151782158442906,3.280730726331831,115.93207336934067,67.45091596802011,10.376100350940659,2.8755199315166995,,
convnext_tiny,concat,ridge,9.43841130392892,4.06877806072646,126.62401474679677,90.98205594517596,10.656787073100382,3.6134338274551716,,
convnext_tiny,max,elasticnet,9.699905790601457,3.7290021950334538,127.60540669139884,79.11363021883359,10.798749999129228,3.3154796255904384,,
convnext_tiny,concat_abs_diff,elasticnet,9.732117802756173,3.25498737502818,128.47947609275312,67.81850137874603,10.977540774499307,2.8236633363342483,,
convnext_tiny,concat_abs_diff,ridge,9.78230322429112,4.025433604214683,131.47268556366504,90.6666160017205,10.884383919103568,3.6059495649862727,,
resnet50,concat,elasticnet,10.624419825417656,3.5388096149231574,161.37092357181007,83.56976384143654,12.337707711021213,3.0252094157624443,,
resnet50,max,ridge,10.734782368796212,3.4963758337429254,165.51886943582724,80.03986289390794,12.515998658652709,2.9780273693219943,,
resnet50,max,elasticnet,10.87854666028704,3.8032531884199052,176.2794069493549,86.53659755673831,12.911372793198625,3.0944885755816327,,
resnet50,mean,ridge,10.950846454075405,3.197323076209569,168.13286947005366,72.6167212101322,12.694524506014584,2.6423317422778156,,
resnet50,mean,elasticnet,11.039930493491037,3.2658464233886324,175.1429173393747,74.8842899885298,12.955103460388331,2.7033704278194994,,
resnet50,concat_abs_diff,elasticnet,11.214168153490338,3.665406607517888,177.49857553633103,89.17308918733738,12.969395569237651,3.0485003042430194,,
densenet121,concat,svr,13.600692490501277,7.1612101491705245,252.69737309409794,188.7079920676279,14.508155139898351,6.496984495189982,,
densenet121,mean,svr,13.642944411281581,6.965668647466731,251.47530935743202,183.46639892776352,14.555954002913495,6.292814348326087,,
densenet121,max,svr,13.6866216529719,6.881863711636586,251.53880822347364,179.81606007741357,14.60374927681054,6.186219789461839,,
convnext_tiny,concat,svr,13.718099492522882,7.368610141426722,260.07046330687643,199.70816795294868,14.641745144749734,6.759420272706379,,
convnext_tiny,mean,svr,13.749733170084248,7.565344223984339,264.1735989400419,210.62317456263725,14.646387798859617,7.04676687463535,,
densenet121,concat_abs_diff,svr,13.907386097360607,7.301768909018906,262.74452942215805,195.93748745923003,14.786328102058103,6.6414629924772415,,
convnext_tiny,concat_abs_diff,svr,14.278009699757062,7.672244910233218,280.2064900186907,213.94334220895564,15.19586489416234,7.020838990965056,,
convnext_tiny,max,svr,14.372835259644146,7.744661544680805,285.20036166982123,219.46664367131467,15.308335600692615,7.131284793526924,,
densenet121,concat_abs_diff,random_forest,15.678166666666666,6.9840064551062655,311.2917540277778,204.8071400876003,16.488523474050155,6.278562548344556,,
resnet50,concat_abs_diff,ridge,15.952133601052422,8.067806146082557,3302.71492015684,5388.003583414021,37.98728765849005,43.12401762948311,,
densenet121,concat,random_forest,16.38994285714286,6.412454635364859,327.98734319722223,189.52296670333445,17.15476929990418,5.805276346935371,,
convnext_tiny,mean,random_forest,16.62608571428571,7.080627851742759,345.0924307111111,217.32301819606423,17.428151688878707,6.43054892062453,,
resnet50,concat,ridge,16.83444904599871,9.485906578939343,4538.817994775394,7532.528520640729,42.9857864677374,51.87523644789948,,
resnet50,mean,svr,16.85367069346039,9.033334903437881,389.94437715638503,293.61708133483233,17.884026800965906,8.372930343596462,,
convnext_tiny,concat,random_forest,16.937948095238095,6.7307264356984025,354.4149440592381,208.9155554588706,17.868466523806795,5.927296866771067,,
resnet50,max,svr,16.944560911928356,9.277337718376085,395.79275933623927,302.2789773268607,17.93020733408075,8.61976938746717,,
convnext_tiny,concat_abs_diff,random_forest,17.08244761904762,6.952662003171169,361.7717882031746,217.99001866208317,17.971832464943844,6.227762523986041,,
densenet121,max,random_forest,17.44860476190476,5.623832601273162,353.0751687015873,181.76778594306242,18.117216526117996,4.98413824520792,,
resnet50,concat_abs_diff,svr,17.612968527714045,10.230458371342072,433.47250951827675,347.33447496671323,18.465270020593213,9.618020200896769,,
densenet121,mean,random_forest,17.619785714285715,4.595500343059634,351.6294427777778,144.64783530353958,18.337791816550574,3.9185244762063953,,
resnet50,concat,svr,17.663931315472656,10.273472350119802,436.9381290298585,350.0461838569791,18.544072896040745,9.646527326255054,,
convnext_tiny,max,random_forest,17.843171428571427,7.00387185450203,386.5854521142857,226.85677943011723,18.58746751688666,6.410265472113374,,
resnet50,concat,random_forest,19.19421346233132,7.007935820075856,434.81052294983635,224.32766721192155,19.78858501956226,6.574376462706752,,
resnet50,concat_abs_diff,random_forest,19.363261904761906,7.11700418240097,442.6127311904762,228.8491601396417,19.95307506093995,6.669897060897753,,
resnet50,max,random_forest,19.39738112244898,7.18632475965594,445.0203825162172,231.65195901508633,19.986413782311157,6.750084935647834,,
resnet50,mean,random_forest,19.459239687098616,7.355695723410698,454.2591621145443,235.427466862053,20.198162467495422,6.80392497395464,,
resnet50,concat,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
resnet50,mean,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
resnet50,max,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
resnet50,concat_abs_diff,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,concat,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,mean,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,max,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,concat_abs_diff,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,concat,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,mean,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,max,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,concat_abs_diff,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
